episode,reward,steps,success,loss,epsilon,fire_count,reason
1,144.90,3,1,0.000000,0.9980,1,reached_exit
2,-1012.00,300,0,2.023577,0.9960,39,max_steps_exceeded
3,-131.80,103,1,1.203660,0.9940,3,reached_exit
4,-1131.10,332,0,1.331296,0.9920,72,hit_fire
5,-675.80,200,0,0.951074,0.9900,9,max_steps_exceeded
6,-196.20,120,1,0.902783,0.9881,19,reached_exit
7,-147.30,37,0,0.882270,0.9861,1,hit_fire
8,-1645.60,458,0,0.941622,0.9841,47,hit_fire
9,-84.10,18,0,1.187197,0.9821,3,hit_fire
10,-628.10,200,0,0.951559,0.9802,7,max_steps_exceeded
11,-49.30,77,1,1.134648,0.9782,6,reached_exit
12,-189.20,61,0,0.936888,0.9763,4,hit_fire
13,-197.30,52,0,1.081537,0.9743,2,hit_fire
14,-1877.80,500,0,1.038114,0.9724,56,max_steps_exceeded
15,123.60,9,1,0.991008,0.9704,1,reached_exit
16,-684.30,200,0,0.965508,0.9685,13,max_steps_exceeded
17,-300.90,87,0,0.929915,0.9665,3,hit_fire
18,-297.80,88,0,0.990817,0.9646,9,hit_fire
19,-889.20,246,0,0.924399,0.9627,28,hit_fire
20,-1751.40,500,0,0.922942,0.9608,64,max_steps_exceeded
21,-1477.00,500,0,1.032555,0.9588,57,max_steps_exceeded
22,92.70,22,1,1.081562,0.9569,1,reached_exit
23,-67.80,61,1,1.036178,0.9550,3,reached_exit
24,130.00,14,1,0.872512,0.9531,1,reached_exit
25,-68.50,9,0,1.195318,0.9512,1,hit_fire
26,-1187.80,385,0,1.012338,0.9493,77,hit_fire
27,-655.20,200,0,1.092820,0.9474,14,max_steps_exceeded
28,-657.10,190,0,1.099209,0.9455,17,hit_fire
29,-1743.50,500,0,1.071843,0.9436,49,max_steps_exceeded
30,-734.70,200,0,1.054058,0.9417,7,max_steps_exceeded
31,-124.50,29,0,1.384983,0.9398,1,hit_fire
32,101.20,16,1,1.257774,0.9379,1,reached_exit
33,20.60,49,1,1.017704,0.9361,6,reached_exit
34,-1665.80,500,0,1.167900,0.9342,99,max_steps_exceeded
35,-1496.20,452,1,1.119190,0.9323,50,reached_exit
36,-1112.80,377,0,1.193100,0.9305,80,hit_fire
37,-473.10,140,0,1.308213,0.9286,6,hit_fire
38,-138.10,27,0,1.250873,0.9267,3,hit_fire
39,-206.30,56,0,1.168467,0.9249,6,hit_fire
40,-682.00,200,0,1.209688,0.9230,14,max_steps_exceeded
41,-979.10,300,0,1.224301,0.9212,50,max_steps_exceeded
42,-2097.50,500,0,1.118209,0.9194,72,max_steps_exceeded
43,-1310.40,500,0,1.163987,0.9175,67,max_steps_exceeded
44,-680.00,200,0,1.119837,0.9157,12,max_steps_exceeded
45,-1169.70,406,0,1.144385,0.9138,73,hit_fire
46,-1632.90,416,0,1.088929,0.9120,40,hit_fire
47,-1810.80,500,0,1.098283,0.9102,63,max_steps_exceeded
48,-1859.40,500,0,1.078075,0.9084,53,max_steps_exceeded
49,-981.10,280,0,1.149858,0.9066,28,hit_fire
50,110.20,24,1,1.045674,0.9047,2,reached_exit
51,-1605.70,500,0,1.126055,0.9029,114,max_steps_exceeded
52,-566.80,226,0,1.159860,0.9011,14,hit_fire
53,-704.00,200,0,1.087157,0.8993,8,max_steps_exceeded
54,-372.10,168,1,1.215776,0.8975,20,reached_exit
55,-217.90,63,0,1.155922,0.8957,9,hit_fire
56,59.20,49,1,1.263334,0.8939,4,reached_exit
57,-824.30,222,0,1.093280,0.8922,41,hit_fire
58,-1650.60,500,0,1.219973,0.8904,59,max_steps_exceeded
59,-1706.10,500,0,1.123856,0.8886,34,max_steps_exceeded
60,-284.50,95,0,1.069474,0.8868,10,hit_fire
61,-96.40,92,1,1.329860,0.8850,10,reached_exit
62,-121.70,30,0,1.158617,0.8833,3,hit_fire
