environment,episodes,successful_episodes,failed_episodes,success_rate,avg_steps,avg_steps_success,avg_reward,total_hazard_events,avg_hazard_events,path_efficiency,seed_start,seed_end,condition
office,100,100,0,1.0,6.83,6.83,153.621,10,0.1,0.8342850482850485,2000,2099,Legacy (Wall-Crossing)
apartment,100,89,11,0.89,27.41,12.0,65.25199999999997,7,0.07,0.9142438072303156,2000,2099,Legacy (Wall-Crossing)
school,100,72,28,0.72,81.43,16.791666666666668,-160.25100000000032,22,0.22,0.7718285381396623,2000,2099,Legacy (Wall-Crossing)
hospital,100,77,23,0.77,129.62,38.83116883116883,-345.9929999999978,23,0.23,0.8072218189283632,2000,2099,Legacy (Wall-Crossing)
mall,100,35,65,0.35,332.2,136.85714285714286,-1019.528,293,2.93,0.5446351994267451,2000,2099,Legacy (Wall-Crossing)
office,100,14,86,0.14,160.81,69.5,-712.0330000000006,440,4.4,0.5642434179871287,2000,2099,Corrected (Wall-Aware)
apartment,100,0,100,0.0,196.02,0.0,-894.8210000000004,2,0.02,,2000,2099,Corrected (Wall-Aware)
school,100,8,92,0.08,262.34,142.25,-1180.333,25,0.25,0.3920613613571787,2000,2099,Corrected (Wall-Aware)
hospital,100,0,100,0.0,464.03,0.0,-2208.353,36,0.36,,2000,2099,Corrected (Wall-Aware)
mall,100,1,99,0.01,487.81,47.0,-2203.6509999999976,3,0.03,0.0851063829787234,2000,2099,Corrected (Wall-Aware)
